DiagnosisCode,Description,AutoReject,ICDType,MinorClaims
7732,HEMOLYTIC DISEASE OF FETUS OR NEWBORN DUE TO OTHER AND UNSPECIFIED,Y,9,N
7733,HYDROPS FETALIS DUE TO ISOIMMUNIZATION,Y,9,N
7734,KERNICTERUS OF FETUS OR NEWBORN DUE TO ISOIMMUNIZATION,Y,9,N
7735,LATE ANEMIA OF FETUS OR NEWBORN DUE TO ISOIMMUNIZATION,Y,9,N
7740,PERINATAL JAUNDICE FROM HEREDITARY HEMOLYTIC ANEMIAS,N,9,N
7741,PERINATAL JAUNDICE FROM OTHER EXCESSIVE HEMOLYSIS,N,9,N
7742,NEONATAL JAUNDICE ASSOCIATED WITH PRETERM DELIVERY,N,9,N
7743,NEONATAL JAUNDICE DUE TO DELAYED CONJUGATION FROM OTHER CAUSES,N,9,N
7744,PERINATAL JAUNDICE DUE TO HEPATOCELLULAR DAMAGE,N,9,N
7745,PERINATAL JAUNDICE FROM OTHER CAUSES,N,9,N
7746,UNSPECIFIED FETAL AND NEONATAL JAUNDICE,N,9,N
7747,KERNICTERUS OF FETUS OR NEWBORN NOT DUE TO ISOIMMUNIZATION,N,9,N
7750,"SYNDROME OF INFANT OF A DIABETIC MOTHER""""",N,9,N
7751,NEONATAL DIABETES MELLITUS,N,9,N
7752,NEONATAL MYASTHENIA GRAVIS,N,9,N
7753,NEONATAL THYROTOXICOSIS,N,9,N
7754,HYPOCALCEMIA AND HYPOMAGNESEMIA OF NEWBORN,N,9,N
7755,OTHER TRANSITORY NEONATAL ELECTROLYTE DISTURBANCES,N,9,N
7756,NEONATAL HYPOGLYCEMIA,N,9,N
7757,LATE METABOLIC ACIDOSIS OF NEWBORN,N,9,N
7758,OTHER TRANSITORY NEONATAL ENDOCRINE AND METABOLIC DISTURBANCES,N,9,N
7759,UNSPECIFIED ENDOCRINE AND METABOLIC DISTURBANCES SPECIFIC TO THE F,N,9,N
7760,HEMORRHAGIC DISEASE OF NEWBORN,Y,9,N
7761,TRANSIENT NEONATAL THROMBOCYTOPENIA,Y,9,N
7762,DISSEMINATED INTRAVASCULAR COAGULATION IN NEWBORN,Y,9,N
7763,OTHER TRANSIENT NEONATAL DISORDERS OF COAGULATION,Y,9,N
7764,POLYCYTHEMIA NEONATORUM,Y,9,N
7765,CONGENITAL ANEMIA,Y,9,N
5209,UNSPECIFIED DISORDER OF TOOTH DEVELOPMENT AND ERUPTION,N,9,N
5210,DENTAL CARIES,N,9,N
5211,EXCESSIVE DENTAL ATTRITION,N,9,N
5212,ABRASION OF TEETH,N,9,N
5213,EROSION OF TEETH,N,9,N
5214,PATHOLOGICAL TOOTH RESORPTION,N,9,N
5215,HYPERCEMENTOSIS,N,9,N
5216,ANKYLOSIS OF TEETH,N,9,N
5217,POSTERUPTIVE COLOR CHANGES OF TEETH,N,9,N
5218,OTHER SPECIFIED DISEASES OF HARD TISSUES OF TEETH,N,9,N
5219,UNSPECIFIED DISEASE OF HARD TISSUES OF TEETH,N,9,N
5220,PULPITIS,N,9,N
5221,NECROSIS OF THE PULP,N,9,N
5222,PULP DEGENERATION,N,9,N
5223,ABNORMAL HARD TISSUE FORMATION IN PULP,N,9,N
5224,ACUTE APICAL PERIODONTITIS OF PULPAL ORIGIN,N,9,N
5225,PERIAPICAL ABSCESS WITHOUT SINUS,N,9,N
5226,CHRONIC APICAL PERIODONTITIS,N,9,N
5227,PERIAPICAL ABSCESS WITH SINUS,N,9,N
5228,RADICULAR CYST,N,9,N
5229,OTHER AND UNSPECIFIED DISEASES OF PULP AND PERIAPICAL TISSUES,N,9,N
5230,ACUTE GINGIVITIS,N,9,N
5231,CHRONIC GINGIVITIS,N,9,N
5232,GINGIVAL RECESSION,N,9,N
5233,ACUTE PERIODONTITIS,N,9,N
5234,CHRONIC PERIODONTITIS,N,9,N
5235,PERIODONTOSIS,N,9,N
5236,ACCRETIONS ON TEETH,N,9,N
5238,OTHER SPECIFIED PERIODONTAL DISEASES,N,9,N
5239,UNSPECIFIED GINGIVAL AND PERIODONTAL DISEASE,N,9,N
5240,MAJOR ANOMALIES OF JAW SIZE,N,9,N
5241,ANOMALIES OF RELATIONSHIP OF JAW TO CRANIAL BASE,N,9,N
5242,ANOMALIES OF DENTAL ARCH RELATIONSHIP,N,9,N
5243,ANOMALIES OF TOOTH POSITION,N,9,N
5244,"MALOCCLUSION, UNSPECIFIED",N,9,N
5245,DENTOFACIAL FUNCTIONAL ABNORMALITIES,N,9,N
5246,TEMPOROMANDIBULAR JOINT DISORDERS,N,9,N
5248,OTHER SPECIFIED DENTOFACIAL ANOMALIES,N,9,N
5249,UNSPECIFIED DENTOFACIAL ANOMALIES,N,9,N
5250,EXFOLIATION OF TEETH DUE TO SYSTEMIC CAUSES,N,9,N
5251,"LOSS OF TEETH DUE TO ACCIDENT, EXTRACTION, OR LOCAL PERIODONTAL DI",N,9,N
5252,ATROPHY OF EDENTULOUS ALVEOLAR RIDGE,N,9,N
5253,RETAINED DENTAL ROOT,N,9,N
5258,OTHER SPECIFIED DISORDERS OF THE TEETH AND SUPPORTING STRUCTURES,N,9,N
5259,UNSPECIFIED DISORDER OF THE TEETH AND SUPPORTING STRUCTURES,N,9,N
5260,DEVELOPMENTAL ODONTOGENIC CYSTS,N,9,N
5261,FISSURAL CYSTS OF JAW,N,9,N
5262,OTHER CYSTS OF JAWS,N,9,N
5263,CENTRAL GIANT CELL (REPARATIVE) GRANULOMA,N,9,N
5264,INFLAMMATORY CONDITIONS OF JAW,N,9,N
5265,ALVEOLITIS OF JAW,N,9,N
5268,OTHER SPECIFIED DISEASES OF THE JAWS,N,9,N
5269,UNSPECIFIED DISEASE OF THE JAWS,N,9,N
5270,ATROPHY OF SALIVARY GLAND,N,9,N
5271,HYPERTROPHY OF SALIVARY GLAND,N,9,N
5272,SIALOADENITIS,N,9,N
5273,ABSCESS OF SALIVARY GLAND,N,9,N
5274,FISTULA OF SALIVARY GLAND,N,9,N
5275,SIALOLITHIASIS,N,9,N
5276,MUCOCELE OF SALIVARY GLAND,N,9,N
5277,DISTURBANCE OF SALIVARY SECRETION,N,9,N
5278,OTHER SPECIFIED DISEASES OF THE SALIVARY GLANDS,N,9,N
5279,UNSPECIFIED DISEASE OF THE SALIVARY GLANDS,N,9,N
5280,STOMATITIS,N,9,N
5281,CANCRUM ORIS,N,9,N
5282,ORAL APHTHAE,N,9,N
5283,CELLULITIS AND ABSCESS OF ORAL SOFT TISSUES,N,9,N
5284,CYSTS OF ORAL SOFT TISSUES,N,9,N
5285,DISEASES OF LIPS,N,9,N
5286,"LEUKOPLAKIA OF ORAL MUCOSA, INCLUDING TONGUE",N,9,N
5287,"OTHER DISTURBANCES OF ORAL EPITHELIUM, INCLUDING TONGUE",N,9,N
5288,"ORAL SUBMUCOSAL FIBROSIS, INCLUDING OF TONGUE",N,9,N
5289,OTHER AND UNSPECIFIED DISEASES OF THE ORAL SOFT TISSUES,N,9,N
5290,GLOSSITIS,N,9,N
5291,GEOGRAPHIC TONGUE,N,9,N
5292,MEDIAN RHOMBOID GLOSSITIS,N,9,N
5293,HYPERTROPHY OF TONGUE PAPILLAE,N,9,N
5908,"OTHER PYELONEPHRITIS OR PYONEPHROSIS, NOT SPECIFIED AS ACUTE OR CH",N,9,N
5909,"INFECTION OF KIDNEY, UNSPECIFIED",N,9,N
5910,HYDRONEPHROSIS,N,9,N
5920,CALCULUS OF KIDNEY,N,9,N
5921,CALCULUS OF URETER,N,9,N
5929,"URINARY CALCULUS, UNSPECIFIED",N,9,N
5930,NEPHROPTOSIS,N,9,N
5931,HYPERTROPHY OF KIDNEY,N,9,N
5932,"CYST OF KIDNEY, ACQUIRED",N,9,N
5933,STRICTURE OR KINKING OF URETER,N,9,N
5934,OTHER URETERIC OBSTRUCTION,N,9,N
5935,HYDROURETER,N,9,N
5936,POSTURAL PROTEINURIA,N,9,N
5937,VESICOURETERAL REFLUX,N,9,N
5938,OTHER SPECIFIED DISORDERS OF KIDNEY AND URETER,N,9,N
5939,UNSPECIFIED DISORDER OF KIDNEY AND URETER,N,9,N
5940,CALCULUS IN DIVERTICULUM OF BLADDER,N,9,N
5941,OTHER CALCULUS IN BLADDER,N,9,N
5942,CALCULUS IN URETHRA,N,9,N
5948,OTHER LOWER URINARY TRACT CALCULUS,N,9,N
5949,"CALCULUS OF LOWER URINARY TRACT, UNSPECIFIED",N,9,N
5950,ACUTE CYSTITIS,N,9,N
5951,CHRONIC INTERSTITIAL CYSTITIS,N,9,N
5952,OTHER CHRONIC CYSTITIS,N,9,N
5953,TRIGONITIS,N,9,N
5954,CYSTITIS IN DISEASES CLASSIFIED ELSEWHERE,N,9,N
5958,OTHER SPECIFIED TYPES OF CYSTITIS,N,9,N
5959,"CYSTITIS, UNSPECIFIED",N,9,N
5960,BLADDER NECK OBSTRUCTION,N,9,N
5961,INTESTINOVESICAL FISTULA,N,9,N
5962,"VESICAL FISTULA, NOT ELSEWHERE CLASSIFIED",N,9,N
5963,DIVERTICULUM OF BLADDER,N,9,N
5964,ATONY OF BLADDER,N,9,N
5965,OTHER FUNCTIONAL DISORDERS OF BLADDER,N,9,N
5966,"RUPTURE OF BLADDER, NONTRAUMATIC",N,9,N
5967,HEMORRHAGE INTO BLADDER WALL,N,9,N
5968,OTHER SPECIFIED DISORDERS OF BLADDER,N,9,N
5969,UNSPECIFIED DISORDER OF BLADDER,N,9,N
5970,URETHRAL ABSCESS,N,9,N
5978,OTHER URETHRITIS,N,9,N
5980,URETHRAL STRICTURE DUE TO INFECTION,N,9,N
5981,TRAUMATIC URETHRAL STRICTURE,N,9,N
5982,POSTOPERATIVE URETHRAL STRICTURE,N,9,N
5988,OTHER SPECIFIED CAUSES OF URETHRAL STRICTURE,N,9,N
5989,"URETHRAL STRICTURE, UNSPECIFIED",N,9,N
5990,"URINARY TRACT INFECTION, SITE NOT SPECIFIED",N,9,N
5991,URETHRAL FISTULA,N,9,N
5992,URETHRAL DIVERTICULUM,N,9,N
5993,URETHRAL CARUNCLE,N,9,N
5994,URETHRAL FALSE PASSAGE,N,9,N
5995,PROLAPSED URETHRAL MUCOSA,N,9,N
5996,"URINARY OBSTRUCTION, UNSPECIFIED",N,9,N
5997,HEMATURIA,N,9,N
5998,OTHER SPECIFIED DISORDERS OF URETHRA AND URINARY TRACT,N,9,N
5999,UNSPECIFIED DISORDER OF URETHRA AND URINARY TRACT,N,9,N
6000,HYPERPLASIA OF PROSTATE,N,9,N
6010,ACUTE PROSTATITIS,N,9,N
6011,CHRONIC PROSTATITIS,N,9,N
6012,ABSCESS OF PROSTATE,N,9,N
6013,PROSTATOCYSTITIS,N,9,N
6014,PROSTATITIS IN DISEASES CLASSIFIED ELSEWHERE,N,9,N
6018,OTHER SPECIFIED INFLAMMATORY DISEASES OF PROSTATE,N,9,N
6019,"PROSTATITIS, UNSPECIFIED",N,9,N
6020,CALCULUS OF PROSTATE,N,9,N
6021,CONGESTION OR HEMORRHAGE OF PROSTATE,N,9,N
6022,ATROPHY OF PROSTATE,N,9,N
6028,OTHER SPECIFIED DISORDERS OF PROSTATE,N,9,N
6029,UNSPECIFIED DISORDER OF PROSTATE,N,9,N
6030,ENCYSTED HYDROCELE,N,9,N
6031,INFECTED HYDROCELE,N,9,N
6038,OTHER SPECIFIED TYPES OF HYDROCELE,N,9,N
6039,"HYDROCELE, UNSPECIFIED",N,9,N
6040,"ORCHITIS, EPIDIDYMITIS, AND EPIDIDYMO-ORCHITIS, WITH ABSCESS",N,9,N
6049,"OTHER ORCHITIS, EPIDIDYMITIS, AND EPIDIDYMO-ORCHITIS, WITHOUT MENT",N,9,N
6050,REDUNDANT PREPUCE AND PHIMOSIS,N,9,N
6060,AZOOSPERMIA,Y,9,N
6061,OLIGOSPERMIA,Y,9,N
6068,INFERTILITY DUE TO EXTRATESTICULAR CAUSES,Y,9,N
6271,POSTMENOPAUSAL BLEEDING,N,9,N
6272,MENOPAUSAL OR FEMALE CLIMACTERIC STATES,N,9,N
6273,POSTMENOPAUSAL ATROPHIC VAGINITIS,N,9,N
6274,STATES ASSOCIATED WITH ARTIFICIAL MENOPAUSE,N,9,N
6278,OTHER SPECIFIED MENOPAUSAL AND POSTMENOPAUSAL DISORDERS,N,9,N
6279,UNSPECIFIED MENOPAUSAL AND POSTMENOPAUSAL DISORDER,N,9,N
6280,"INFERTILITY, FEMALE, ASSOCIATED WITH ANOVULATION",Y,9,N
6281,"INFERTILITY, FEMALE, OF PITUITARY-HYPOTHALAMIC ORIGIN",Y,9,N
6282,"INFERTILITY, FEMALE, OF TUBAL ORIGIN",Y,9,N
6283,"INFERTILITY, FEMALE, OF UTERINE ORIGIN",Y,9,N
6284,"INFERTILITY, FEMALE, OF CERVICAL OR VAGINAL ORIGIN",Y,9,N
6288,"INFERTILITY, FEMALE, OF OTHER SPECIFIED ORIGIN",Y,9,N
6289,"INFERTILITY, FEMALE, OF UNSPECIFIED ORIGIN",Y,9,N
6290,"HEMATOCELE, FEMALE, NOT ELSEWHERE CLASSIFIED",N,9,N
6291,"HYDROCELE, CANAL OF NUCK",N,9,N
6298,OTHER SPECIFIED DISORDERS OF FEMALE GENITAL ORGANS,N,9,N
6299,UNSPECIFIED DISORDER OF FEMALE GENITAL ORGANS,N,9,N
6310,OTHER ABNORMAL PRODUCT OF CONCEPTION,Y,9,N
6330,ABDOMINAL PREGNANCY,Y,9,N
6331,TUBAL PREGNANCY,Y,9,N
6332,OVARIAN PREGNANCY,Y,9,N
6338,OTHER ECTOPIC PREGNANCY,Y,9,N
6339,UNSPECIFIED ECTOPIC PREGNANCY,Y,9,N
6340,SPONTANEOUS ABORTION COMPLICATED BY GENITAL TRACT AND PELVIC INFEC,Y,9,N
6341,SPONTANEOUS ABORTION COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAG,Y,9,N
6342,SPONTANEOUS ABORTION COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TIS,Y,9,N
6343,SPONTANEOUS ABORTION COMPLICATED BY RENAL FAILURE,Y,9,N
6344,SPONTANEOUS ABORTION COMPLICATED BY METABOLIC DISORDER,Y,9,N
6345,SPONTANEOUS ABORTION COMPLICATED BY SHOCK,Y,9,N
6346,SPONTANEOUS ABORTION COMPLICATED BY EMBOLISM,Y,9,N
6347,SPONTANEOUS ABORTION WITH OTHER SPECIFIED COMPLICATIONS,Y,9,N
6348,SPONTANEOUS ABORTION WITH UNSPECIFIED COMPLICATION,Y,9,N
6349,SPONTANEOUS ABORTION WITHOUT MENTION OF COMPLICATION,Y,9,N
6350,LEGALLY INDUCED ABORTION COMPLICATED BY GENITAL TRACT AND PELVIC I,Y,9,N
6351,LEGALLY INDUCED ABORTION COMPLICATED BY DELAYED OR EXCESSIVE HEMOR,Y,9,N
6352,LEGALLY INDUCED ABORTION COMPLICATED BY DAMAGE TO PELVIC ORGANS OR,Y,9,N
6353,LEGALLY INDUCED ABORTION COMPLICATED BY RENAL FAILURE,Y,9,N
6354,LEGALLY INDUCED ABORTION COMPLICATED BY METABOLIC DISORDER,Y,9,N
6355,LEGALLY INDUCED ABORTION COMPLICATED BY SHOCK,Y,9,N
6356,LEGALLY INDUCED ABORTION COMPLICATED BY EMBOLISM,Y,9,N
6357,LEGALLY INDUCED ABORTION WITH OTHER SPECIFIED COMPLICATIONS,Y,9,N
6358,LEGALLY INDUCED ABORTION WITH UNSPECIFIED COMPLICATION,Y,9,N
6359,LEGALLY INDUCED ABORTION WITHOUT MENTION OF COMPLICATION,Y,9,N
6360,ILLEGAL ABORTION COMPLICATED BY GENITAL TRACT AND PELVIC INFECTION,Y,9,N
6361,ILLEGAL ABORTION COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE,Y,9,N
6362,ILLEGAL ABORTION COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TISSUES,Y,9,N
6363,ILLEGAL ABORTION COMPLICATED BY RENAL FAILURE,Y,9,N
6364,ILLEGAL ABORTION COMPLICATED BY METABOLIC DISORDER,Y,9,N
6365,ILLEGAL ABORTION COMPLICATED BY SHOCK,Y,9,N
6366,ILLEGAL ABORTION COMPLICATED BY EMBOLISM,Y,9,N
6367,ILLEGAL ABORTION WITH OTHER SPECIFIED COMPLICATIONS,Y,9,N
6368,ILLEGAL ABORTION WITH UNSPECIFIED COMPLICATION,Y,9,N
6369,ILLEGAL ABORTION WITHOUT MENTION OF COMPLICATION,Y,9,N
6370,UNSPECIFIED ABORTION COMPLICATED BY GENITAL TRACT AND PELVIC INFEC,Y,9,N
6371,UNSPECIFIED ABORTION COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAG,Y,9,N
6372,UNSPECIFIED ABORTION COMPLICATED BY DAMAGE TO PELVIC ORGANS OR TIS,Y,9,N
6373,UNSPECIFIED ABORTION COMPLICATED BY RENAL FAILURE,Y,9,N
6374,UNSPECIFIED ABORTION COMPLICATED BY METABOLIC DISORDER,Y,9,N
6375,UNSPECIFIED ABORTION COMPLICATED BY SHOCK,Y,9,N
6376,UNSPECIFIED ABORTION COMPLICATED BY EMBOLISM,Y,9,N
6377,UNSPECIFIED ABORTION WITH OTHER SPECIFIED COMPLICATIONS,Y,9,N
6378,UNSPECIFIED ABORTION WITH UNSPECIFIED COMPLICATION,Y,9,N
6379,UNSPECIFIED ABORTION WITHOUT MENTION OF COMPLICATION,Y,9,N
6380,FAILED ATTEMPTED ABORTION COMPLICATED BY GENITAL TRACT AND PELVIC,Y,9,N
6670,RETAINED PLACENTA WITHOUT HEMORRHAGE,Y,9,N
6671,"RETAINED PORTIONS OF PLACENTA OR MEMBRANES, WITHOUT HEMORRHAGE",Y,9,N
6680,PULMONARY COMPLICATIONS OF ANESTHESIA OR OTHER SEDATION IN LABOR A,Y,9,N
6681,CARDIAC COMPLICATIONS OF ANESTHESIA OR OTHER SEDATION IN LABOR AND,Y,9,N
6682,CENTRAL NERVOUS SYSTEM COMPLICATIONS OF ANESTHESIA OR OTHER SEDATI,Y,9,N
6688,OTHER COMPLICATIONS OF ANESTHESIA OR OTHER SEDATION IN LABOR AND D,Y,9,N
6689,UNSPECIFIED COMPLICATION OF ANESTHESIA OR OTHER SEDATION IN LABOR,Y,9,N
6690,MATERNAL DISTRESS,Y,9,N
6691,OBSTETRIC SHOCK,Y,9,N
6692,MATERNAL HYPOTENSION SYNDROME,Y,9,N
6693,ACUTE RENAL FAILURE FOLLOWING LABOR AND DELIVERY,Y,9,N
6694,OTHER COMPLICATIONS OF OBSTETRICAL SURGERY AND PROCEDURES,Y,9,N
6695,FORCEPS OR VACUUM EXTRACTOR DELIVERY WITHOUT MENTION OF INDICATION,Y,9,N
6696,"BREECH EXTRACTION, WITHOUT MENTION OF INDICATION",Y,9,N
6697,"CESAREAN DELIVERY, WITHOUT MENTION OF INDICATION",Y,9,N
6698,OTHER COMPLICATIONS OF LABOR AND DELIVERY,Y,9,N
6699,UNSPECIFIED COMPLICATION OF LABOR AND DELIVERY,Y,9,N
